quicksort recur, array[100], k = 1
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
k = 50, is 44,
k = n/2,44,
total time: ,,
5347000,,
quicksort r, array[100], k = 3n/4
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
k = 75, is 71,
k = 3n/4,71,
total time: ,,
4561500,,
quicksort, array[100], k = n
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
k = n,100,
total time: ,,
2535900,,
